nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,orientation_sexuelle,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Rodriguez,Terri,74,179.0,53.9,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,2,188.7,867,marié,4.0,0.78,2023-02-16,,10000.0,10699.741376669954
Davis,Matthew,51,169.1,71.5,F,oui,bac,Hauts-de-France,oui,oui,hom,2,168.4,932,,,0.86,2020-03-17,692.0,5000.0,500.0
Mccormick,Sharon,67,159.4,83.3,H,oui,master,Normandie,oui,oui,het,2,231.6,1688,veuf,,0.52,2020-02-26,,,12691.20933726451
Johnston,Tracy,30,164.8,60.8,H,non,master,Auvergne-Rhône-Alpes,non,oui,het,2,274.8,4821,célibataire,,0.43,2020-03-01,,852.08,32406.363429223
Potts,Daniel,70,180.7,66.5,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,het,5,395.5,3294,marié,,0.53,2025-01-16,549.0,,14959.704183298292
Fuller,Carol,59,176.7,68.4,F,non,doctorat,Auvergne-Rhône-Alpes,oui,non,hom,2,469.5,3307,divorcé,5.0,0.25,2023-11-20,,5000.0,500.0
Gibson,Lisa,48,173.1,69.6,F,oui,doctorat,Corse,oui,oui,het,0,250.4,3327,,4.0,0.24,2024-02-19,326.0,,931.2893411604468
Dickerson,Keith,33,180.6,87.3,F,non,bac+2,Corse,oui,non,het,3,163.4,3644,divorcé,,0.83,2025-05-20,474.0,10000.0,500.0
Anderson,Natasha,35,162.8,78.2,H,non,doctorat,Normandie,non,oui,het,0,222.9,2186,veuf,,0.81,2021-12-30,,5000.0,13336.458815540715
Moran,Christian,23,173.4,53.3,F,non,doctorat,Occitanie,non,non,het,0,174.7,1878,,5.0,0.89,2024-08-14,,10000.0,500.0
Wilson,Benjamin,56,173.0,50.5,H,non,bac+2,Corse,non,oui,het,0,302.9,3511,divorcé,0.0,0.35,2025-05-28,,667.42,6275.995657375264
Mathews,Evelyn,54,160.4,52.9,F,oui,bac,Corse,non,non,het,2,192.3,2292,veuf,1.0,0.09,2024-04-22,,1225.01,500.0
Simpson,Thomas,18,170.2,93.8,F,oui,master,Hauts-de-France,non,oui,het,1,267.1,4413,divorcé,,0.88,2020-04-24,,,23586.21984120104
Gutierrez,Karen,66,183.6,78.6,F,non,doctorat,Auvergne-Rhône-Alpes,non,oui,het,0,166.9,4075,veuf,,0.23,2022-08-18,,5000.0,29327.468801877967
Farmer,James,54,167.3,72.5,F,non,bac+2,Corse,oui,non,het,1,259.4,500,marié,,0.23,2025-05-26,,633.96,500.0
Harris,Kristen,64,181.9,73.9,H,oui,bac,Hauts-de-France,oui,oui,het,4,69.4,2527,veuf,,0.64,2022-11-21,,5000.0,6766.208142869146
Robbins,Brianna,18,176.4,61.0,F,non,doctorat,Hauts-de-France,oui,non,het,3,203.0,3125,veuf,,0.95,2020-07-07,454.0,,500.0
Wang,Sheila,66,154.6,61.7,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,hom,0,289.9,2629,veuf,,0.72,2023-01-27,663.0,10000.0,500.0
Williams,Benjamin,39,165.8,68.7,H,oui,aucun,Hauts-de-France,oui,oui,het,2,337.8,4301,,1.0,0.82,2021-02-17,570.0,5000.0,6527.309924135625
Hill,Zachary,38,179.0,90.4,F,non,bac,Auvergne-Rhône-Alpes,non,non,het,0,251.6,3880,,3.0,0.61,2020-08-07,,,500.0
Rivas,James,40,167.7,75.0,H,oui,aucun,Normandie,oui,oui,het,1,220.2,3696,marié,,0.5,2021-03-25,,,500.0
Reynolds,Amy,21,172.4,79.9,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,het,0,195.7,5297,,2.0,0.91,2022-07-25,,,500.0
Salas,Robert,48,174.3,73.1,F,non,bac+2,Île-de-France,oui,oui,het,1,270.1,2944,,2.0,0.3,2020-08-14,542.0,5000.0,4878.983510459015
Rose,Jessica,20,172.1,90.3,F,oui,aucun,Occitanie,oui,non,het,0,201.5,1733,divorcé,,0.73,2022-04-02,,5000.0,500.0
Anderson,Jennifer,71,173.3,59.0,F,non,bac,Hauts-de-France,oui,oui,het,2,252.7,500,célibataire,,0.42,2021-04-10,329.0,,500.0
Keith,Dylan,24,168.4,81.5,H,oui,master,Auvergne-Rhône-Alpes,oui,oui,hom,0,116.2,500,veuf,3.0,0.68,2021-11-27,578.0,,9005.3984759165
Woods,Kelly,70,168.4,55.6,H,non,bac,Île-de-France,non,oui,het,2,422.9,891,veuf,1.0,0.72,2020-03-29,,1262.05,4648.262954564732
Escobar,Rachael,67,169.7,43.4,H,non,aucun,Auvergne-Rhône-Alpes,non,non,het,0,201.8,3188,veuf,,0.55,2023-07-01,718.0,10000.0,500.0
Tran,Brandy,61,156.7,69.0,H,non,doctorat,Bretagne,non,non,het,1,159.6,3018,,3.0,0.36,2024-04-18,328.0,10000.0,500.0
Young,Valerie,29,188.3,58.7,H,non,doctorat,Île-de-France,non,oui,het,1,369.8,500,veuf,,0.82,2022-09-28,464.0,,17519.79086127057
Taylor,Christopher,63,187.3,43.5,H,non,master,Hauts-de-France,non,non,het,3,179.8,4921,veuf,4.0,0.12,2020-12-20,,10000.0,500.0
Cole,James,72,163.5,86.0,H,oui,aucun,Corse,non,oui,het,1,143.1,2369,veuf,4.0,0.7,2021-12-26,,1011.5,500.0
White,Todd,64,179.8,67.8,H,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,het,5,524.1,2309,veuf,,0.39,2023-03-15,,986.83,23004.85004339703
Boone,Donna,59,169.7,81.3,H,non,bac,Île-de-France,oui,non,het,2,432.7,4242,célibataire,3.0,0.78,2023-06-12,849.0,5000.0,525.9216548946995
Cordova,Sabrina,72,165.9,43.7,F,oui,aucun,Normandie,oui,oui,het,3,103.5,1279,,,0.71,2025-03-27,,10000.0,500.0
Walton,Jennifer,18,171.1,68.0,H,oui,aucun,Occitanie,non,oui,het,-1,250.9,2803,,2.0,0.25,2023-10-31,,,5283.578467374318
Duran,Angela,40,160.9,69.1,H,oui,doctorat,Occitanie,oui,non,het,3,218.0,2497,divorcé,,0.19,2023-09-01,,,500.0
Chandler,Scott,35,177.0,64.8,F,non,bac,Provence-Alpes-Côte d’Azur,non,oui,het,2,355.7,2794,veuf,,0.4,2023-04-21,616.0,639.35,15204.45744031618
Jones,Justin,32,174.1,67.5,H,oui,bac,Bretagne,non,non,het,0,285.1,2945,,,0.26,2023-03-20,,1164.09,500.0
Bennett,Monica,63,174.2,45.3,F,non,aucun,Normandie,oui,non,hom,1,176.3,4197,,,0.35,2020-05-18,492.0,10000.0,500.0
Stafford,Alicia,19,181.7,94.7,H,non,aucun,Occitanie,non,oui,het,2,255.2,3256,,0.0,0.65,2022-03-18,473.0,828.76,500.0
Cuevas,Jeffrey,69,170.8,81.9,F,non,bac,Hauts-de-France,oui,oui,het,4,264.9,3717,veuf,2.0,0.56,2022-01-21,,10000.0,13170.559304605247
Brown,Garrett,47,184.4,76.9,F,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,het,0,202.3,2983,,,0.69,2023-06-14,,5000.0,23595.20348242246
Murray,Andrew,70,172.3,87.9,F,non,doctorat,Bretagne,non,oui,hom,1,421.4,2076,veuf,,0.7,2021-10-01,,,22782.65101085786
Vaughn,Aaron,67,162.0,71.4,H,oui,master,Corse,oui,oui,het,2,134.7,3439,veuf,0.0,0.06,2021-08-22,361.0,10000.0,942.2444110939667
Zamora,William,68,156.5,64.2,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,het,2,38.9,686,célibataire,1.0,0.11,2020-12-01,375.0,5000.0,12270.06665872613
Jacobs,Sandra,56,161.9,76.6,H,non,aucun,Bretagne,oui,oui,het,2,186.0,3780,célibataire,3.0,0.5,2025-02-24,502.0,5000.0,1147.9499177521698
Sherman,Dennis,66,171.9,52.5,F,oui,bac,Auvergne-Rhône-Alpes,non,oui,het,1,211.9,4590,célibataire,5.0,0.84,2025-05-07,,,25361.899125577955
Nguyen,Robert,58,160.7,54.7,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,het,4,133.4,2960,divorcé,,0.67,2024-05-03,,,12717.193538141435
Ayala,Fred,44,181.0,79.2,H,oui,bac,Hauts-de-France,non,oui,het,4,48.3,3697,divorcé,,0.45,2021-06-23,680.0,5000.0,35222.91761983653
Clay,Adam,45,172.6,74.9,F,non,bac,Corse,oui,non,het,1,252.1,1635,marié,,0.76,2022-01-15,452.0,958.13,500.0
Simmons,Jill,56,187.2,87.3,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,1,201.4,1762,divorcé,2.0,0.04,2024-11-02,,913.01,8395.400810142952
Sanders,Tony,45,169.5,52.3,H,non,aucun,Occitanie,oui,oui,het,1,307.4,743,,4.0,0.63,2024-03-31,713.0,10000.0,1991.076420631058
Doyle,Johnny,47,163.9,61.2,F,non,bac+2,Hauts-de-France,oui,oui,het,0,183.8,2914,célibataire,,0.46,2023-06-01,809.0,,500.0
Martinez,Heather,65,157.5,61.3,F,non,master,Île-de-France,non,non,het,2,289.0,1040,veuf,,0.67,2024-08-08,651.0,10000.0,500.0
Campbell,Mason,60,173.6,90.8,H,oui,aucun,Corse,oui,oui,het,0,374.5,1427,veuf,,0.09,2022-10-11,,10000.0,500.0
Diaz,Maria,65,172.9,69.0,F,oui,bac,Île-de-France,non,non,het,1,268.8,681,veuf,,0.25,2024-11-09,394.0,5000.0,500.0
Lowery,Jacob,74,170.3,89.0,F,oui,doctorat,Occitanie,non,non,het,0,351.3,3300,marié,,0.89,2020-08-31,,,753.6030929569296
Beasley,Danielle,52,154.6,78.0,F,non,bac+2,Occitanie,oui,oui,het,3,357.1,2175,veuf,2.0,0.95,2020-08-05,649.0,5000.0,14002.865498517638
Reed,Jason,49,156.4,94.7,F,oui,master,Bretagne,non,oui,het,0,368.0,3484,,,0.65,2021-04-03,819.0,5000.0,17450.841622992128
Williams,Jean,22,170.9,94.5,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,3,377.3,2106,célibataire,5.0,0.04,2024-01-17,,5000.0,24090.770841341113
Baird,Kelly,19,160.2,57.3,H,oui,doctorat,Hauts-de-France,non,non,het,1,310.7,530,célibataire,,0.24,2024-02-12,,10000.0,500.0
Torres,Jessica,59,176.7,55.7,F,oui,bac+2,Occitanie,oui,oui,het,5,93.7,5303,,,0.38,2025-05-11,,385.13,26156.233451699125
Bryan,Elizabeth,56,165.2,94.1,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,non,het,1,263.3,1714,marié,2.0,0.98,2022-08-23,342.0,755.18,500.0
Medina,Robert,41,173.3,95.9,H,oui,bac+2,Bretagne,non,non,het,0,224.9,1302,divorcé,,0.06,2022-06-25,,,500.0
English,Tristan,60,162.9,45.2,H,oui,master,Auvergne-Rhône-Alpes,non,non,het,3,426.1,4205,célibataire,5.0,0.32,2024-02-22,507.0,959.2,8633.339757804348
Hardy,Kenneth,35,152.7,56.6,H,non,doctorat,Corse,oui,non,het,0,259.4,1337,,,0.32,2022-06-22,,,500.0
Lawrence,Katelyn,40,184.2,64.7,H,non,master,Auvergne-Rhône-Alpes,non,oui,het,2,317.4,1022,marié,2.0,0.83,2022-05-02,,1181.95,22176.96596468062
Smith,Kyle,26,178.6,96.4,H,oui,aucun,Île-de-France,non,oui,het,2,215.4,2685,célibataire,,0.18,2020-03-24,,,19568.241586992615
Mclaughlin,Lee,54,170.7,77.7,F,non,bac+2,Île-de-France,oui,non,het,2,200.2,2332,divorcé,0.0,0.38,2021-04-27,,5000.0,500.0
Briggs,Jeremy,43,178.5,48.7,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,non,hom,2,232.5,1946,veuf,,0.27,2024-10-25,805.0,5000.0,9420.317078132413
George,Brenda,20,180.0,49.8,H,non,bac+2,Auvergne-Rhône-Alpes,non,non,het,4,442.4,500,veuf,,0.63,2024-09-06,787.0,10000.0,4127.01517045297
Jones,Rachel,59,174.4,69.8,F,non,bac,Bretagne,non,non,het,0,225.3,1436,divorcé,,0.69,2025-01-16,554.0,,500.0
Brown,Tina,26,182.1,63.0,H,non,bac+2,Île-de-France,oui,non,het,4,224.1,3667,,1.0,0.17,2024-11-14,,10000.0,500.0
Williams,Spencer,57,165.2,71.6,F,oui,aucun,Occitanie,oui,non,het,1,251.4,3765,divorcé,3.0,0.29,2020-01-02,,,500.0
Greene,Michael,59,170.6,76.0,F,oui,bac,Île-de-France,oui,oui,het,2,128.1,1640,,4.0,0.45,2022-06-15,,10000.0,3720.3050076664263
Glenn,Jason,61,155.8,70.1,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,hom,0,256.0,3974,divorcé,,0.84,2023-01-30,,5000.0,500.0
Freeman,Robert,67,168.4,61.6,F,oui,aucun,Corse,oui,non,hom,2,191.7,4633,veuf,,0.84,2025-04-17,669.0,453.27,500.0
Andrade,Jacob,71,161.6,67.2,H,non,doctorat,Île-de-France,oui,oui,het,0,206.4,2077,veuf,5.0,0.43,2021-01-15,496.0,,6069.528722438526
Edwards,Benjamin,72,159.5,59.3,F,non,aucun,Bretagne,non,oui,het,3,49.1,1408,marié,,0.73,2025-01-13,,,500.0
Mathis,Michael,74,158.5,66.9,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,het,3,282.3,2456,veuf,2.0,0.09,2025-03-10,,,9295.06139134704
Smith,Jesse,50,178.9,59.3,F,non,bac,Île-de-France,oui,oui,het,1,250.4,4343,divorcé,,0.33,2024-11-07,584.0,,500.0
Wilson,William,47,180.9,82.0,F,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,hom,3,354.7,3830,célibataire,,0.63,2021-01-06,,,43459.373722936565
Rodriguez,Rachel,45,179.9,51.2,F,oui,bac+2,Auvergne-Rhône-Alpes,non,non,het,4,331.7,2778,veuf,,0.75,2021-11-21,,,500.0
Hansen,Amber,45,165.5,96.5,F,non,doctorat,Île-de-France,oui,oui,het,3,292.3,500,,,0.16,2021-06-14,,5000.0,19071.53279373577
Guzman,Michael,52,185.0,49.1,F,oui,doctorat,Hauts-de-France,non,oui,hom,1,345.4,2380,célibataire,4.0,0.96,2022-02-27,,,25969.313901561876
Ray,Elizabeth,55,163.0,63.6,H,oui,bac,Hauts-de-France,non,oui,het,0,279.9,3773,veuf,2.0,0.56,2024-04-03,,,500.0
Jenkins,Adam,26,177.0,52.3,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,het,0,343.3,3280,,,0.16,2023-08-16,671.0,1504.38,500.0
Smith,Jonathan,59,161.3,69.1,F,non,doctorat,Bretagne,non,non,het,1,322.2,1236,veuf,,0.27,2025-02-07,641.0,148.64,500.0
Gomez,Michael,45,170.3,66.8,H,non,bac,Normandie,oui,non,het,0,178.0,3700,,,0.27,2022-09-10,613.0,,500.0
Rodriguez,Robert,56,163.9,62.5,F,oui,aucun,Hauts-de-France,non,non,het,1,299.6,2556,veuf,0.0,0.21,2024-10-11,322.0,,500.0
Hughes,Barbara,60,150.1,61.5,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,het,2,424.2,1498,marié,1.0,0.25,2024-10-07,483.0,991.36,500.0
Johnson,Jennifer,33,172.6,72.0,F,non,master,Bretagne,non,oui,het,1,122.7,3673,célibataire,3.0,0.59,2022-04-14,604.0,,15447.487891752608
Roman,Steven,46,170.3,70.7,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,hom,2,269.6,1517,veuf,2.0,0.21,2021-02-17,,871.75,33039.482262154605
Rubio,William,56,168.4,59.2,H,non,bac,Occitanie,non,oui,het,2,148.3,942,divorcé,5.0,0.4,2022-11-02,,532.47,2814.291214417311
Morales,Amy,45,165.8,59.3,H,oui,bac,Hauts-de-France,non,non,het,5,264.2,3369,,2.0,0.38,2020-11-12,,674.35,6485.522432905486
Mcdaniel,Brian,65,173.2,61.9,H,non,bac,Bretagne,oui,oui,het,2,463.0,1899,divorcé,,0.81,2021-08-21,330.0,5000.0,500.0
Perez,Alan,57,165.5,69.9,F,non,bac,Hauts-de-France,non,oui,het,3,202.4,5511,marié,,0.95,2025-02-11,,,18913.573182111923
Barnett,Austin,53,172.4,69.9,H,non,bac+2,Auvergne-Rhône-Alpes,non,oui,het,3,269.4,3152,marié,,0.46,2024-04-15,,827.65,29952.602703918248
Hunter,Anthony,71,163.0,95.4,F,non,aucun,Occitanie,non,oui,het,0,460.5,2437,célibataire,3.0,0.06,2024-01-23,746.0,5000.0,500.0
Walsh,Eric,38,152.1,57.9,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,het,1,321.1,1198,divorcé,0.0,0.26,2021-12-05,485.0,5000.0,500.0
Ortiz,Kimberly,47,192.3,85.6,F,oui,aucun,Hauts-de-France,oui,oui,het,1,486.8,2760,veuf,,0.16,2020-06-20,361.0,5000.0,500.0
Martinez,Lance,58,160.8,98.6,H,non,master,Bretagne,oui,oui,het,0,414.7,1715,,,0.9,2025-05-03,544.0,10000.0,500.0
Smith,Diana,25,174.8,44.9,H,oui,master,Occitanie,oui,non,hom,1,383.9,2751,célibataire,3.0,0.75,2025-04-16,,5000.0,500.0
Reyes,Jared,20,164.8,74.7,H,non,bac,Hauts-de-France,non,oui,hom,1,174.2,3878,,,0.75,2020-05-22,674.0,5000.0,11025.064543114582
Jenkins,Ryan,38,166.5,101.3,F,non,bac+2,Bretagne,oui,non,het,1,240.6,3397,veuf,1.0,0.46,2023-04-14,,10000.0,500.0
Hartman,Bryan,56,174.5,66.0,F,non,bac+2,Corse,non,oui,het,2,360.8,2724,,,0.38,2020-05-15,,,2139.5957572864386
Hernandez,Rebecca,19,184.5,70.3,H,oui,aucun,Bretagne,non,non,het,2,316.7,3137,célibataire,,0.28,2020-09-18,,5000.0,500.0
Garner,Randy,48,164.1,69.5,F,non,aucun,Île-de-France,oui,non,het,3,134.6,2737,veuf,,0.76,2020-01-20,,5000.0,500.0
Griffith,Maria,68,178.9,64.9,F,non,bac+2,Bretagne,oui,non,het,4,182.9,1302,marié,,0.01,2025-01-24,436.0,582.62,500.0
Wagner,Nicole,61,176.1,66.9,H,non,bac,Normandie,non,oui,het,3,214.8,1962,,,0.54,2022-05-28,322.0,10000.0,8394.66324168909
Ruiz,Benjamin,50,174.0,65.4,H,non,master,Provence-Alpes-Côte d’Azur,oui,oui,het,2,212.0,1676,veuf,,0.68,2024-10-14,,626.85,14916.872580013354
Harding,Lisa,35,175.5,64.3,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,het,0,183.2,2233,veuf,,0.82,2024-03-04,,,500.0
Duran,Isaac,57,159.6,70.2,F,oui,doctorat,Hauts-de-France,oui,non,het,2,298.0,5478,divorcé,,0.94,2023-12-01,685.0,,3984.794741675325
Schultz,Stacy,28,169.5,56.1,H,oui,doctorat,Île-de-France,oui,oui,het,2,307.4,1656,,3.0,0.97,2024-11-28,,809.32,26592.283270461885
Nielsen,Heather,61,164.3,67.2,H,oui,aucun,Corse,oui,oui,hom,1,34.9,3914,veuf,5.0,0.98,2022-11-24,,10000.0,500.0
King,Heidi,30,192.9,63.1,F,oui,master,Occitanie,non,oui,het,4,335.4,500,célibataire,3.0,0.93,2021-03-27,,713.09,22780.31709737975
Scott,Corey,25,185.6,73.0,H,non,doctorat,Normandie,oui,oui,het,3,345.8,2608,marié,3.0,0.91,2021-06-20,,744.13,11814.00760141825
Murray,Leslie,38,165.3,67.9,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,het,2,244.3,1177,veuf,5.0,0.34,2024-11-15,373.0,,500.0
Butler,Mary,63,167.1,84.3,F,oui,doctorat,Hauts-de-France,oui,non,het,2,330.4,3827,divorcé,1.0,0.78,2020-12-18,,5000.0,500.0
Gentry,James,22,163.9,72.5,H,oui,master,Île-de-France,non,oui,het,1,317.0,2915,célibataire,0.0,0.96,2020-08-23,,,34110.298298145535
Mitchell,Jason,46,168.4,78.3,F,non,bac+2,Hauts-de-France,oui,non,het,3,177.8,2841,divorcé,,0.06,2020-02-04,670.0,,500.0
Huerta,Kimberly,21,163.7,60.5,F,oui,master,Auvergne-Rhône-Alpes,non,non,het,0,340.1,500,marié,,0.14,2020-11-22,,5000.0,500.0
Leonard,Jeffrey,20,162.6,84.9,F,oui,bac,Île-de-France,non,oui,het,0,120.0,2129,célibataire,2.0,0.61,2025-01-12,,5000.0,649.5630251954094
Bender,Adriana,64,164.7,60.9,H,non,doctorat,Corse,non,non,het,1,322.3,2928,,,0.01,2020-01-09,,10000.0,500.0
Ware,Ashley,57,183.4,52.9,H,oui,aucun,Île-de-France,non,non,het,0,371.1,2195,marié,0.0,0.11,2024-11-19,,,500.0
Schultz,Samantha,62,165.1,72.4,H,oui,doctorat,Normandie,non,non,het,2,216.3,2156,veuf,,0.68,2022-11-22,,622.11,500.0
Newton,Andrew,66,164.0,79.9,H,non,bac,Corse,non,non,het,4,136.3,3982,divorcé,,0.67,2022-12-16,,5000.0,500.0
Hebert,Dale,75,172.9,48.8,H,oui,doctorat,Auvergne-Rhône-Alpes,non,non,het,4,164.3,2069,veuf,,0.89,2022-05-31,531.0,10000.0,15380.547695732232
Maxwell,Keith,65,172.0,100.3,F,non,master,Auvergne-Rhône-Alpes,oui,oui,het,0,175.0,4777,,3.0,0.9,2020-02-09,601.0,,2241.440919642173
Robinson,Shelly,70,182.3,48.1,H,oui,bac,Auvergne-Rhône-Alpes,non,non,het,2,364.8,1979,marié,,0.24,2021-09-15,401.0,,500.0
Mann,Barbara,56,171.8,63.0,F,non,doctorat,Normandie,oui,oui,het,2,174.7,2120,,,0.8,2020-01-15,680.0,577.02,14741.930027756887
House,Ronnie,73,169.4,75.9,F,non,master,Bretagne,oui,oui,het,2,386.5,2952,,,0.74,2021-04-07,,,6558.49125213323
Frederick,Ricky,74,171.0,76.9,H,non,aucun,Normandie,non,oui,het,2,202.5,2562,divorcé,,0.53,2024-03-15,,674.33,8257.496710422885
Hull,James,54,170.6,48.7,F,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,het,3,376.4,2353,,,0.17,2022-07-17,432.0,,27531.704787635135
Cook,Brittany,54,178.8,65.0,H,oui,aucun,Corse,oui,non,het,2,301.6,1202,célibataire,1.0,0.86,2023-04-23,547.0,885.46,500.0
Frazier,James,30,161.9,93.9,H,non,bac+2,Auvergne-Rhône-Alpes,oui,non,het,0,89.9,1829,marié,2.0,0.16,2022-06-15,,5000.0,500.0
Watson,Mary,31,166.2,70.5,F,non,bac,Corse,non,oui,het,3,356.0,2865,veuf,,0.06,2024-03-24,754.0,586.19,5991.829927828809
